CONS_NO,FLAG,DATE,CONSUMPTION
CUST_0004,1,2014-01-07,1.74
CUST_0004,1,2014-01-08,4.58
CUST_0004,1,2014-01-09,8.08
CUST_0004,1,2014-01-10,13.17
CUST_0004,1,2014-01-11,13.49
CUST_0004,1,2014-01-12,5.58
CUST_0004,1,2014-01-13,5.62
CUST_0004,1,2014-01-14,7.82
CUST_0004,1,2014-01-15,1.5
CUST_0004,1,2014-01-16,9.6
CUST_0004,1,2014-01-17,4.27
CUST_0004,1,2014-01-18,6.56
CUST_0004,1,2014-01-19,8.23
CUST_0004,1,2014-01-20,13.17
CUST_0004,1,2014-01-21,12.41
CUST_0004,1,2014-01-22,7.47
CUST_0004,1,2014-01-23,5.62
CUST_0004,1,2014-01-24,8.79
CUST_0004,1,2014-01-25,9.45
CUST_0004,1,2014-01-26,12.23
CUST_0004,1,2014-01-27,12.65
CUST_0004,1,2014-01-28,10.11
CUST_0004,1,2014-01-29,0.32
CUST_0004,1,2014-01-30,5.0
CUST_0005,1,2014-01-01,2.42
CUST_0005,1,2014-01-02,6.9
CUST_0005,1,2014-01-03,3.96
CUST_0005,1,2014-01-04,4.29
CUST_0005,1,2014-01-05,4.73
CUST_0005,1,2014-01-06,13.62
CUST_0005,1,2014-01-07,3.5
CUST_0005,1,2014-01-08,4.34
CUST_0005,1,2014-01-09,1.45
CUST_0005,1,2014-01-10,3.94
CUST_0005,1,2014-01-11,9.14
CUST_0005,1,2014-01-12,4.05
CUST_0005,1,2014-01-13,0.33
CUST_0005,1,2014-01-14,13.17
CUST_0005,1,2014-01-15,8.72
CUST_0005,1,2014-01-16,10.92
CUST_0005,1,2014-01-17,14.33
CUST_0005,1,2014-01-18,6.04
CUST_0005,1,2014-01-19,14.13
CUST_0005,1,2014-01-20,11.05
CUST_0005,1,2014-01-21,4.87
CUST_0005,1,2014-01-22,0.96
CUST_0005,1,2014-01-23,12.21
CUST_0005,1,2014-01-24,14.44
CUST_0005,1,2014-01-25,8.81
CUST_0005,1,2014-01-26,10.3
CUST_0005,1,2014-01-27,12.59
CUST_0005,1,2014-01-28,9.31
CUST_0005,1,2014-01-29,5.32
CUST_0005,1,2014-01-30,9.54
CUST_0006,1,2014-01-01,2.42
CUST_0006,1,2014-01-02,11.8
CUST_0006,1,2014-01-03,9.97
CUST_0006,1,2014-01-04,8.19
CUST_0006,1,2014-01-05,4.95
CUST_0006,1,2014-01-06,3.81
CUST_0006,1,2014-01-07,6.46
CUST_0006,1,2014-01-08,0.65
CUST_0006,1,2014-01-09,12.55
CUST_0006,1,2014-01-10,9.93
CUST_0006,1,2014-01-11,0.24
CUST_0006,1,2014-01-12,3.74
CUST_0006,1,2014-01-13,13.93
CUST_0006,1,2014-01-14,11.14
CUST_0006,1,2014-01-15,0.64
CUST_0006,1,2014-01-16,14.64
CUST_0006,1,2014-01-17,11.09
CUST_0006,1,2014-01-18,9.28
CUST_0006,1,2014-01-19,5.85
CUST_0006,1,2014-01-20,12.07
CUST_0006,1,2014-01-21,13.44
CUST_0006,1,2014-01-22,8.29
CUST_0006,1,2014-01-23,14.21
CUST_0006,1,2014-01-24,5.69
CUST_0006,1,2014-01-25,13.53
CUST_0006,1,2014-01-26,2.52
CUST_0006,1,2014-01-27,7.08
CUST_0006,1,2014-01-28,5.44
CUST_0006,1,2014-01-29,8.89
CUST_0006,1,2014-01-30,3.68
CUST_0007,1,2014-01-01,0.97
CUST_0007,1,2014-01-02,3.08
CUST_0007,1,2014-01-03,4.74
CUST_0007,1,2014-01-04,2.2
CUST_0007,1,2014-01-05,10.97
CUST_0007,1,2014-01-06,6.21
CUST_0007,1,2014-01-07,12.29
CUST_0007,1,2014-01-08,9.18
CUST_0007,1,2014-01-09,4.88
CUST_0007,1,2014-01-10,12.28
CUST_0007,1,2014-01-11,1.61
CUST_0007,1,2014-01-12,14.6
CUST_0007,1,2014-01-13,6.48
CUST_0007,1,2014-01-14,10.49
CUST_0007,1,2014-01-15,7.04
CUST_0007,1,2014-01-16,7.79
CUST_0007,1,2014-01-17,8.36
CUST_0007,1,2014-01-18,9.56
CUST_0007,1,2014-01-19,14.42
CUST_0007,1,2014-01-20,4.3
CUST_0007,1,2014-01-21,5.9
CUST_0007,1,2014-01-22,6.68
CUST_0007,1,2014-01-23,14.79
CUST_0007,1,2014-01-24,4.36
CUST_0007,1,2014-01-25,0.78
CUST_0007,1,2014-01-26,13.67
CUST_0007,1,2014-01-27,6.28
CUST_0007,1,2014-01-28,1.79
CUST_0007,1,2014-01-29,5.94
CUST_0007,1,2014-01-30,1.23
CUST_0008,1,2014-01-01,13.01
CUST_0008,1,2014-01-02,7.76
CUST_0008,1,2014-01-03,7.85
CUST_0008,1,2014-01-04,12.05
CUST_0008,1,2014-01-05,9.6
CUST_0008,1,2014-01-06,11.36
CUST_0008,1,2014-01-07,12.92
CUST_0008,1,2014-01-08,7.59
CUST_0008,1,2014-01-09,2.88
CUST_0008,1,2014-01-10,8.37
CUST_0008,1,2014-01-11,9.99
CUST_0008,1,2014-01-12,5.96
CUST_0008,1,2014-01-13,14.5
CUST_0008,1,2014-01-14,10.57
CUST_0008,1,2014-01-15,8.19
CUST_0008,1,2014-01-16,4.91
CUST_0008,1,2014-01-17,9.21
CUST_0008,1,2014-01-18,0.78
CUST_0008,1,2014-01-19,13.59
CUST_0008,1,2014-01-20,2.74
CUST_0008,1,2014-01-21,0.26
CUST_0008,1,2014-01-22,13.33
CUST_0008,1,2014-01-23,11.33
CUST_0008,1,2014-01-24,13.04
CUST_0008,1,2014-01-25,4.29
CUST_0008,1,2014-01-26,12.36
CUST_0008,1,2014-01-27,4.17
CUST_0008,1,2014-01-28,10.11
CUST_0008,1,2014-01-29,6.62
CUST_0008,1,2014-01-30,2.02
CUST_0009,1,2014-01-01,9.06
CUST_0009,1,2014-01-02,8.93
CUST_0009,1,2014-01-03,8.25
CUST_0009,1,2014-01-04,1.21
CUST_0009,1,2014-01-05,13.32
CUST_0009,1,2014-01-06,3.51
CUST_0009,1,2014-01-07,0.2
CUST_0009,1,2014-01-08,0.87
CUST_0009,1,2014-01-09,0.71
CUST_0009,1,2014-01-10,7.99
CUST_0009,1,2014-01-11,0.18
CUST_0009,1,2014-01-12,13.39
CUST_0009,1,2014-01-13,14.46
CUST_0009,1,2014-01-14,5.46
CUST_0009,1,2014-01-15,4.37
CUST_0009,1,2014-01-16,11.95
CUST_0009,1,2014-01-17,6.35
CUST_0009,1,2014-01-18,5.68
CUST_0009,1,2014-01-19,3.02
CUST_0009,1,2014-01-20,11.28
CUST_0009,1,2014-01-21,13.59
CUST_0009,1,2014-01-22,5.33
CUST_0009,1,2014-01-23,5.71
CUST_0009,1,2014-01-24,3.43
CUST_0009,1,2014-01-25,14.26
CUST_0009,1,2014-01-26,14.25
CUST_0009,1,2014-01-27,0.94
CUST_0009,1,2014-01-28,7.85
CUST_0009,1,2014-01-29,13.57
CUST_0009,1,2014-01-30,2.01
CUST_0010,1,2014-01-01,10.65
CUST_0010,1,2014-01-02,0.79
CUST_0010,1,2014-01-03,2.85
CUST_0010,1,2014-01-04,14.8
CUST_0010,1,2014-01-05,7.14
CUST_0010,1,2014-01-06,1.25
CUST_0010,1,2014-01-07,7.71
CUST_0010,1,2014-01-08,4.25
CUST_0010,1,2014-01-09,8.9
CUST_0010,1,2014-01-10,3.7
CUST_0010,1,2014-01-11,2.5
CUST_0010,1,2014-01-12,9.5
CUST_0010,1,2014-01-13,12.81
CUST_0010,1,2014-01-14,4.47
CUST_0010,1,2014-01-15,8.9
CUST_0010,1,2014-01-16,4.14
CUST_0010,1,2014-01-17,3.79
CUST_0010,1,2014-01-18,9.43
CUST_0010,1,2014-01-19,1.13
CUST_0010,1,2014-01-20,12.12
CUST_0010,1,2014-01-21,1.46
CUST_0010,1,2014-01-22,1.84
CUST_0010,1,2014-01-23,1.34
CUST_0010,1,2014-01-24,14.45
CUST_0010,1,2014-01-25,13.36
CUST_0010,1,2014-01-26,10.91
CUST_0010,1,2014-01-27,12.98
CUST_0010,1,2014-01-28,11.61
CUST_0010,1,2014-01-29,5.29
CUST_0010,1,2014-01-30,2.36
CUST_0011,1,2014-01-01,0.41
CUST_0011,1,2014-01-02,9.15
CUST_0011,1,2014-01-03,14.55
CUST_0011,1,2014-01-04,11.61
CUST_0011,1,2014-01-05,1.88
CUST_0011,1,2014-01-06,4.42
CUST_0011,1,2014-01-07,6.32
CUST_0011,1,2014-01-08,13.63
CUST_0011,1,2014-01-09,10.2
CUST_0011,1,2014-01-10,1.49
CUST_0011,1,2014-01-11,8.28
CUST_0011,1,2014-01-12,11.94
CUST_0011,1,2014-01-13,4.49
CUST_0011,1,2014-01-14,12.16
CUST_0011,1,2014-01-15,0.55
CUST_0011,1,2014-01-16,6.64
CUST_0011,1,2014-01-17,5.4
CUST_0011,1,2014-01-18,7.6
CUST_0011,1,2014-01-19,1.6
CUST_0011,1,2014-01-20,14.86
CUST_0011,1,2014-01-21,4.86
CUST_0011,1,2014-01-22,2.23
CUST_0011,1,2014-01-23,11.68
CUST_0011,1,2014-01-24,0.28
CUST_0011,1,2014-01-25,6.89
CUST_0011,1,2014-01-26,9.24
CUST_0011,1,2014-01-27,12.21
CUST_0011,1,2014-01-28,7.85
CUST_0011,1,2014-01-29,7.76
CUST_0011,1,2014-01-30,2.17
CUST_0012,1,2014-01-01,14.55
CUST_0012,1,2014-01-02,2.64
CUST_0012,1,2014-01-03,11.65
CUST_0012,1,2014-01-04,3.06
CUST_0012,1,2014-01-05,10.73
CUST_0012,1,2014-01-06,2.5
CUST_0012,1,2014-01-07,3.41
CUST_0012,1,2014-01-08,3.67
CUST_0012,1,2014-01-09,0.35
CUST_0012,1,2014-01-10,13.47
CUST_0012,1,2014-01-11,10.41
CUST_0012,1,2014-01-12,7.59
CUST_0012,1,2014-01-13,5.84
CUST_0012,1,2014-01-14,12.17
CUST_0012,1,2014-01-15,0.66
CUST_0012,1,2014-01-16,1.27
CUST_0012,1,2014-01-17,11.39
CUST_0012,1,2014-01-18,12.86
CUST_0012,1,2014-01-19,0.37
CUST_0012,1,2014-01-20,6.25
CUST_0012,1,2014-01-21,14.26
CUST_0012,1,2014-01-22,11.45
CUST_0012,1,2014-01-23,8.42
CUST_0012,1,2014-01-24,14.55
CUST_0012,1,2014-01-25,9.34
CUST_0012,1,2014-01-26,6.33
CUST_0012,1,2014-01-27,15.0
CUST_0012,1,2014-01-28,12.8
CUST_0012,1,2014-01-29,11.78
CUST_0012,1,2014-01-30,9.65
CUST_0013,1,2014-01-01,12.5
CUST_0013,1,2014-01-02,1.07
CUST_0013,1,2014-01-03,14.1
CUST_0013,1,2014-01-04,0.18
CUST_0013,1,2014-01-05,11.44
CUST_0013,1,2014-01-06,13.95
CUST_0013,1,2014-01-07,1.89
CUST_0013,1,2014-01-08,2.26
CUST_0013,1,2014-01-09,7.73
CUST_0013,1,2014-01-10,13.52
CUST_0013,1,2014-01-11,9.81
CUST_0013,1,2014-01-12,8.7
CUST_0013,1,2014-01-13,12.78
CUST_0013,1,2014-01-14,13.02
CUST_0013,1,2014-01-15,12.36
CUST_0013,1,2014-01-16,0.48
CUST_0013,1,2014-01-17,0.31
CUST_0013,1,2014-01-18,9.91
CUST_0013,1,2014-01-19,1.51
CUST_0013,1,2014-01-20,5.64
CUST_0013,1,2014-01-21,14.26
CUST_0013,1,2014-01-22,9.31
CUST_0013,1,2014-01-23,6.42
CUST_0013,1,2014-01-24,0.74
CUST_0013,1,2014-01-25,4.23
CUST_0013,1,2014-01-26,14.0
CUST_0013,1,2014-01-27,14.95
CUST_0013,1,2014-01-28,8.32
CUST_0013,1,2014-01-29,6.01
CUST_0013,1,2014-01-30,2.81
CUST_0014,1,2014-01-01,3.26
CUST_0014,1,2014-01-02,14.24
CUST_0014,1,2014-01-03,13.43
CUST_0014,1,2014-01-04,12.25
CUST_0014,1,2014-01-05,8.46
CUST_0014,1,2014-01-06,12.14
CUST_0014,1,2014-01-07,5.13
CUST_0014,1,2014-01-08,7.39
CUST_0014,1,2014-01-09,3.47
CUST_0014,1,2014-01-10,9.53
CUST_0014,1,2014-01-11,3.44
CUST_0014,1,2014-01-12,7.44
CUST_0014,1,2014-01-13,4.82
CUST_0014,1,2014-01-14,13.71
CUST_0014,1,2014-01-15,5.47
CUST_0014,1,2014-01-16,14.44
CUST_0014,1,2014-01-17,1.83
CUST_0014,1,2014-01-18,2.53
CUST_0014,1,2014-01-19,10.28
CUST_0014,1,2014-01-20,11.67
CUST_0014,1,2014-01-21,8.64
CUST_0014,1,2014-01-22,1.61
CUST_0014,1,2014-01-23,13.6
CUST_0014,1,2014-01-24,13.38
CUST_0014,1,2014-01-25,2.9
CUST_0014,1,2014-01-26,13.0
CUST_0014,1,2014-01-27,8.38
CUST_0014,1,2014-01-28,8.46
CUST_0014,1,2014-01-29,9.37
CUST_0014,1,2014-01-30,5.25
CUST_0015,1,2014-01-01,2.81
CUST_0015,1,2014-01-02,14.49
CUST_0015,1,2014-01-03,9.01
CUST_0015,1,2014-01-04,10.63
CUST_0015,1,2014-01-05,11.59
CUST_0015,1,2014-01-06,9.54
CUST_0015,1,2014-01-07,14.15
CUST_0015,1,2014-01-08,14.79
CUST_0015,1,2014-01-09,9.71
CUST_0015,1,2014-01-10,5.15
CUST_0015,1,2014-01-11,10.71
CUST_0015,1,2014-01-12,3.01
CUST_0015,1,2014-01-13,2.63
CUST_0015,1,2014-01-14,7.72
CUST_0015,1,2014-01-15,1.99
CUST_0015,1,2014-01-16,12.56
CUST_0015,1,2014-01-17,0.79
CUST_0015,1,2014-01-18,1.15
CUST_0015,1,2014-01-19,1.16
CUST_0015,1,2014-01-20,5.18
CUST_0015,1,2014-01-21,9.51
CUST_0015,1,2014-01-22,1.35
CUST_0015,1,2014-01-23,1.76
CUST_0015,1,2014-01-24,7.96
CUST_0015,1,2014-01-25,7.01
CUST_0015,1,2014-01-26,0.77
CUST_0015,1,2014-01-27,11.56
CUST_0015,1,2014-01-28,13.16
CUST_0015,1,2014-01-29,12.95
CUST_0015,1,2014-01-30,13.46
CUST_0016,1,2014-01-01,2.83
CUST_0016,1,2014-01-02,12.15
CUST_0016,1,2014-01-03,13.84
CUST_0016,1,2014-01-04,10.96
CUST_0016,1,2014-01-05,7.46
CUST_0016,1,2014-01-06,13.08
CUST_0016,1,2014-01-07,4.92
CUST_0016,1,2014-01-08,3.71
CUST_0016,1,2014-01-09,2.7
CUST_0016,1,2014-01-10,5.3
CUST_0016,1,2014-01-11,3.64
CUST_0016,1,2014-01-12,10.86
CUST_0016,1,2014-01-13,8.4
CUST_0016,1,2014-01-14,7.57
CUST_0016,1,2014-01-15,7.88
CUST_0016,1,2014-01-16,10.47
CUST_0016,1,2014-01-17,0.71
CUST_0016,1,2014-01-18,9.67
CUST_0016,1,2014-01-19,4.85
CUST_0016,1,2014-01-20,13.97
CUST_0016,1,2014-01-21,6.78
CUST_0016,1,2014-01-22,10.54
CUST_0016,1,2014-01-23,7.44
CUST_0016,1,2014-01-24,14.9
CUST_0016,1,2014-01-25,5.36
CUST_0016,1,2014-01-26,0.49
CUST_0016,1,2014-01-27,14.18
CUST_0016,1,2014-01-28,6.11
CUST_0016,1,2014-01-29,14.25
CUST_0016,1,2014-01-30,7.16
CUST_0017,1,2014-01-01,4.63
CUST_0017,1,2014-01-02,4.64
CUST_0017,1,2014-01-03,1.42
CUST_0017,1,2014-01-04,11.59
CUST_0017,1,2014-01-05,7.89
CUST_0017,1,2014-01-06,12.07
CUST_0017,1,2014-01-07,7.83
CUST_0017,1,2014-01-08,10.11
CUST_0017,1,2014-01-09,10.39
CUST_0017,1,2014-01-10,10.92
CUST_0017,1,2014-01-11,4.95
CUST_0017,1,2014-01-12,4.28
CUST_0017,1,2014-01-13,14.05
CUST_0017,1,2014-01-14,11.99
CUST_0017,1,2014-01-15,11.57
CUST_0017,1,2014-01-16,6.19
CUST_0017,1,2014-01-17,12.85
CUST_0017,1,2014-01-18,0.5
CUST_0017,1,2014-01-19,12.69
CUST_0017,1,2014-01-20,12.89
CUST_0017,1,2014-01-21,4.47
CUST_0017,1,2014-01-22,1.18
CUST_0017,1,2014-01-23,0.27
CUST_0017,1,2014-01-24,1.2
CUST_0017,1,2014-01-25,8.8
CUST_0017,1,2014-01-26,5.71
CUST_0017,1,2014-01-27,12.76
CUST_0017,1,2014-01-28,2.1
CUST_0017,1,2014-01-29,2.29
CUST_0017,1,2014-01-30,10.05
CUST_0018,1,2014-01-01,7.92
CUST_0018,1,2014-01-02,1.56
CUST_0018,1,2014-01-03,3.02
CUST_0018,1,2014-01-04,1.2
CUST_0018,1,2014-01-05,6.47
CUST_0018,1,2014-01-06,2.88
CUST_0018,1,2014-01-07,10.57
CUST_0018,1,2014-01-08,11.45
CUST_0018,1,2014-01-09,5.86
CUST_0018,1,2014-01-10,13.47
CUST_0018,1,2014-01-11,11.22
CUST_0018,1,2014-01-12,0.46
CUST_0018,1,2014-01-13,10.47
CUST_0018,1,2014-01-14,9.78
CUST_0018,1,2014-01-15,3.32
CUST_0018,1,2014-01-16,2.68
CUST_0018,1,2014-01-17,10.58
CUST_0018,1,2014-01-18,8.83
CUST_0018,1,2014-01-19,0.45
CUST_0018,1,2014-01-20,6.49
CUST_0018,1,2014-01-21,5.0
CUST_0018,1,2014-01-22,12.35
CUST_0018,1,2014-01-23,7.08
CUST_0018,1,2014-01-24,8.35
CUST_0018,1,2014-01-25,1.26
CUST_0018,1,2014-01-26,12.18
CUST_0018,1,2014-01-27,3.79
CUST_0018,1,2014-01-28,0.53
CUST_0018,1,2014-01-29,13.91
CUST_0018,1,2014-01-30,2.67
CUST_0019,1,2014-01-01,6.54
CUST_0019,1,2014-01-02,10.3
CUST_0019,1,2014-01-03,0.77
CUST_0019,1,2014-01-04,5.44
CUST_0019,1,2014-01-05,0.48
CUST_0019,1,2014-01-06,13.4
CUST_0019,1,2014-01-07,5.52
CUST_0019,1,2014-01-08,3.64
CUST_0019,1,2014-01-09,14.06
CUST_0019,1,2014-01-10,13.32
CUST_0019,1,2014-01-11,9.78
CUST_0019,1,2014-01-12,9.72
CUST_0019,1,2014-01-13,8.59
CUST_0019,1,2014-01-14,10.56
CUST_0019,1,2014-01-15,9.38
CUST_0019,1,2014-01-16,2.43
CUST_0019,1,2014-01-17,7.17
CUST_0019,1,2014-01-18,14.11
CUST_0019,1,2014-01-19,12.24
CUST_0019,1,2014-01-20,11.29
CUST_0019,1,2014-01-21,10.12
CUST_0019,1,2014-01-22,10.62
CUST_0019,1,2014-01-23,0.94
CUST_0019,1,2014-01-24,14.54
CUST_0019,1,2014-01-25,14.62
CUST_0019,1,2014-01-26,14.81
CUST_0019,1,2014-01-27,6.81
CUST_0019,1,2014-01-28,11.35
CUST_0019,1,2014-01-29,7.43
CUST_0019,1,2014-01-30,2.97
CUST_0020,1,2014-01-01,4.44
CUST_0020,1,2014-01-02,6.66
CUST_0020,1,2014-01-03,4.95
CUST_0020,1,2014-01-04,1.83
CUST_0020,1,2014-01-05,1.71
CUST_0020,1,2014-01-06,8.14
CUST_0020,1,2014-01-07,14.58
CUST_0020,1,2014-01-08,10.95
CUST_0020,1,2014-01-09,2.15
CUST_0020,1,2014-01-10,11.72
CUST_0020,1,2014-01-11,12.75
CUST_0020,1,2014-01-12,2.74
CUST_0020,1,2014-01-13,1.55
CUST_0020,1,2014-01-14,11.96
CUST_0020,1,2014-01-15,1.37
CUST_0020,1,2014-01-16,3.83
CUST_0020,1,2014-01-17,1.56
CUST_0020,1,2014-01-18,8.67
CUST_0020,1,2014-01-19,4.3
CUST_0020,1,2014-01-20,11.34
CUST_0020,1,2014-01-21,11.31
CUST_0020,1,2014-01-22,1.31
CUST_0020,1,2014-01-23,1.87
CUST_0020,1,2014-01-24,7.89
CUST_0020,1,2014-01-25,14.79
CUST_0020,1,2014-01-26,2.34
CUST_0020,1,2014-01-27,2.02
CUST_0020,1,2014-01-28,9.34
CUST_0020,1,2014-01-29,3.95
CUST_0020,1,2014-01-30,0.71
CUST_0020SYN1meter_tamper,1,2014-01-01,0.8880000000000001
CUST_0020SYN1meter_tamper,1,2014-01-02,1.332
CUST_0020SYN1meter_tamper,1,2014-01-03,0.9900000000000001
CUST_0020SYN1meter_tamper,1,2014-01-04,0.8880000000000001
CUST_0020SYN1meter_tamper,1,2014-01-05,1.332
CUST_0020SYN1meter_tamper,1,2014-01-06,0.9900000000000001
CUST_0020SYN1meter_tamper,1,2014-01-07,0.8880000000000001
CUST_0020SYN1meter_tamper,1,2014-01-08,1.332
CUST_0020SYN1meter_tamper,1,2014-01-09,0.9900000000000001
CUST_0020SYN1meter_tamper,1,2014-01-10,0.8880000000000001
CUST_0020SYN1meter_tamper,1,2014-01-11,1.332
CUST_0020SYN1meter_tamper,1,2014-01-12,0.9900000000000001
CUST_0020SYN1meter_tamper,1,2014-01-13,0.8880000000000001
CUST_0020SYN1meter_tamper,1,2014-01-14,1.332
CUST_0020SYN1meter_tamper,1,2014-01-15,0.9900000000000001
CUST_0020SYN1meter_tamper,1,2014-01-16,0.8880000000000001
CUST_0020SYN1meter_tamper,1,2014-01-17,1.332
CUST_0020SYN1meter_tamper,1,2014-01-18,0.9900000000000001
CUST_0020SYN1meter_tamper,1,2014-01-19,0.8880000000000001
CUST_0020SYN1meter_tamper,1,2014-01-20,1.332
CUST_0020SYN1meter_tamper,1,2014-01-21,0.9900000000000001
CUST_0020SYN1meter_tamper,1,2014-01-22,0.8880000000000001
CUST_0020SYN1meter_tamper,1,2014-01-23,1.332
CUST_0020SYN1meter_tamper,1,2014-01-24,0.9900000000000001
CUST_0020SYN1meter_tamper,1,2014-01-25,0.8880000000000001
CUST_0020SYN1meter_tamper,1,2014-01-26,1.332
CUST_0020SYN1meter_tamper,1,2014-01-27,0.9900000000000001
CUST_0020SYN1meter_tamper,1,2014-01-28,0.8880000000000001
CUST_0020SYN1meter_tamper,1,2014-01-29,1.332
CUST_0020SYN1meter_tamper,1,2014-01-30,0.9900000000000001
CUST_0020SYN2sharp_dip,1,2014-01-01,4.44
CUST_0020SYN2sharp_dip,1,2014-01-02,6.66
CUST_0020SYN2sharp_dip,1,2014-01-03,4.95
CUST_0020SYN2sharp_dip,1,2014-01-04,1.83
CUST_0020SYN2sharp_dip,1,2014-01-05,1.71
CUST_0020SYN2sharp_dip,1,2014-01-06,8.14
CUST_0020SYN2sharp_dip,1,2014-01-07,14.58
CUST_0020SYN2sharp_dip,1,2014-01-08,10.95
CUST_0020SYN2sharp_dip,1,2014-01-09,2.15
CUST_0020SYN2sharp_dip,1,2014-01-10,11.72
CUST_0020SYN2sharp_dip,1,2014-01-11,12.75
CUST_0020SYN2sharp_dip,1,2014-01-12,2.74
CUST_0020SYN2sharp_dip,1,2014-01-13,1.55
CUST_0020SYN2sharp_dip,1,2014-01-14,11.96
CUST_0020SYN2sharp_dip,1,2014-01-15,1.37
CUST_0020SYN2sharp_dip,1,2014-01-16,3.83
CUST_0020SYN2sharp_dip,1,2014-01-17,1.56
CUST_0020SYN2sharp_dip,1,2014-01-18,8.67
CUST_0020SYN2sharp_dip,1,2014-01-19,4.3
CUST_0020SYN2sharp_dip,1,2014-01-20,11.34
CUST_0020SYN2sharp_dip,1,2014-01-21,11.31
CUST_0020SYN2sharp_dip,1,2014-01-22,1.31
CUST_0020SYN2sharp_dip,1,2014-01-23,0.18700000000000003
CUST_0020SYN2sharp_dip,1,2014-01-24,0.789
CUST_0020SYN2sharp_dip,1,2014-01-25,1.479
CUST_0020SYN2sharp_dip,1,2014-01-26,0.23399999999999999
CUST_0020SYN2sharp_dip,1,2014-01-27,0.202
CUST_0020SYN2sharp_dip,1,2014-01-28,0.934
CUST_0020SYN2sharp_dip,1,2014-01-29,3.95
CUST_0020SYN2sharp_dip,1,2014-01-30,0.71
CUST_0006SYN1meter_tamper,1,2014-01-01,0.484
